year;name_municipallity;salaries;ext_time;sub_all;rent_bcl;rent_mef;publicity;activities;main_bcl;main_roads;main_other;cap_me;cap_trans;cap_build;cap_roads;cap_install;pe_land;pe_build
2006;MUNICIPALIDAD DE ABANGARES;103417103,55;550000,00;6330000,00;550000,00;106206856,65;291000,00;905765,00;1841520,00;0,00;;942582,08;0,00;9113814,19;14199650,00;4015000,00;0,00;
2006;MUNICIPALIDAD DE ACOSTA;47170819,25;7611902,33;3148000,00;;0,00;20160,00;450310,00;300000,00;0,00;;280678,95;2321500,00;975000,00;11442750,00;;5460000,00;
2006;MUNICIPALIDAD DE ALAJUELA;847274709,61;2532589,15;135884253,37;1227816,00;1477300,00;18724059,57;30271435,39;27154104,85;207000,00;300000,00;33371064,19;40821789,50;77825676,86;23712420,00;64875903,32;9085440,00;
2006;MUNICIPALIDAD DE ALAJUELITA;155879126,47;1220795,85;9572400,00;;1540000,00;828580,00;754690,00;0,00;11604837,88;514750,00;;;0,00;560000,00;;;
2006;MUNICIPALIDAD DE ALVARADO DE PACAYAS;45499582,45;244420,20;2424000,00;;7008000,00;28318,00;;;;;;;;;;;
2006;MUNICIPALIDAD DE ASERRI;158220001,23;4485999,24;10660900,00;;26988782,09;0,00;;4129484,23;30084045,96;0,00;;0,00;;;;0,00;
2006;MUNICIPALIDAD DE ATENAS;85829851,60;;6946308,00;;6251000,00;15000,00;1104822,88;354000,00;;0,00;;4350000,00;7299994,03;0,00;;0,00;
2006;MUNICIPALIDAD DE BAGACES;80169838,92;6270499,29;6599800,13;;15111638,00;90000,00;1951279,71;2301000,00;4359800,00;213000,00;119889000,00;;;;413000,00;;
2006;MUNICIPALIDAD DE BARVA;120125470,99;669404,68;10297457,49;;100000,00;;;0,00;138467,45;131200,00;;;;;0,00;0,00;
2006;MUNICIPALIDAD DE BELEN;323773343,73;14829599,89;14113269,90;7651939,98;5553277,42;1850865,00;10718933,00;3987042,78;9499991,35;1678000,00;8871428,84;;19582679,88;58696005,62;44222799,70;0,00;
2006;MUNICIPALIDAD DE BUENOS AIRES;72488823,79;0,00;13693567,33;;22937500,00;1411615,00;447714,02;7286293,81;;2072500,00;0,00;1498000,00;2200000,00;104501850,96;;;
2006;MUNICIPALIDAD DE CARRILLO GUANACASTE;146094787,43;1467160,69;13654725,00;;74112440,16;1960461,00;196000,00;896500,00;0,00;312000,00;104417031,50;32610730,00;41852634,95;41385714,00;50329000,00;0,00;
2006;MUNICIPALIDAD DE CARTAGO;635484063,15;62277387,24;60103030,30;165000,00;81874586,44;6061035,00;11939949,00;814544,69;0,00;6027200,00;47781784,00;0,00;7000000,00;187101971,72;9619436,51;0,00;
2006;MUNICIPALIDAD DE CAÑAS;145661643,16;15420283,05;8849998,00;;41220260,00;;1342609,90;3718681,00;4921600,00;707000,00;0,00;280126,00;0,00;10840947,60;;;
2006;MUNICIPALIDAD DE CORREDORES;121274690,91;6299860,97;8827500,00;;220500,00;2657675,75;30595,00;;;;61200,00;42460200,00;4343992,10;137252244,96;;;
2006;MUNICIPALIDAD DE COTO BRUS;61635686,09;291199,68;4315200,00;;390000,00;295560,00;;;;185240,75;96515400,00;0,00;;42948970,00;;0,00;
2006;MUNICIPALIDAD DE CURRIDABAT;419491703,50;4976060,72;21738456,00;0,00;1980600,00;239500,00;4142507,39;1731654,90;4199720,00;;26901579,29;1218888,00;38447400,63;212196563,12;;0,00;
2006;MUNICIPALIDAD DE DESAMPARADOS;627459385,11;35366265,07;58757335,00;;25504800,00;3062889,00;5136946,55;13329617,63;0,00;3280646,02;98466999,58;;52483927,91;36407659,63;;0,00;
2006;MUNICIPALIDAD DE DOTA;13541690,13;;2957722,41;;;;;497705,70;;0,00;;0,00;1997997,25;48701389,55;92824,00;;
2006;MUNICIPALIDAD DE EL GUARCO;97892158,50;2991405,45;8632800,00;;1450395,00;135770,00;260000,00;220000,00;;400000,00;18267235,00;1735826,60;11935726,26;8988470,00;4478250,00;0,00;
2006;MUNICIPALIDAD DE ESCAZU;466018503,25;18386915,32;35326827,00;39614521,40;81790100,08;4733616,57;1057368,40;6146740,00;;7089864,00;1640428,62;82070920,92;20704062,03;161915267,79;810000,00;0,00;
2006;MUNICIPALIDAD DE ESPARZA;148721850,24;5611695,59;14384559,04;;5163382,00;380384,50;1931524,91;481877,00;;;0,00;;322817,00;7477820,00;64500,00;0,00;
2006;MUNICIPALIDAD DE FLORES;79994453,20;1362194,71;6794423,52;;6149316,33;1901715,00;1972303,00;3011780,30;5341619,48;4956951,19;;0,00;4444362,58;4980543,54;2000000,00;;
2006;MUNICIPALIDAD DE GARABITO;155850739,63;3951955,58;8771100,00;;330000,00;859455,35;2185395,00;731700,00;0,00;0,00;78447693,00;53563496,34;1000000,00;120764288,00;0,00;0,00;
2006;MUNICIPALIDAD DE GOICOECHEA;630223555,69;11495713,92;35226750,74;;25628020,00;9046536,12;199999,99;42729770,16;43778637,00;46260172,60;5975264,00;408000,00;30140401,35;;54558002,28;;
2006;MUNICIPALIDAD DE GOLFITO;75263262,00;800679,90;4494000,00;;5000000,00;63000,00;;161000,00;;;81087624,00;10521869,38;821751,42;37836500,00;;;
2006;MUNICIPALIDAD DE GRECIA;257800916,39;5421952,76;26499985,92;;6549000,00;1654328,00;2287439,50;548000,00;;3209696,00;921124,65;15787267,90;0,00;;0,00;0,00;
2006;MUNICIPALIDAD DE GUACIMO;82655931,05;884525,60;6519600,00;2760000,00;2451500,00;845810,00;;1730690,00;240000,00;150000,00;1203320,00;0,00;;2240000,00;;;
